FARM_ID,MSRM_DT,AREA_NM,AREA_TPRT,AREA_HMDT,AREA_WDSP,INNER_TPRT,INNER_HMDT,INNER_CBDX_CTRN,SPCIES_NM_1,SPCIES_NM_2,SPCIES_NM_3,HOUSE_QLFMT_CONT,HOUSE_TYPE,PLANT_AR_SQM,SHPMN_QTY
GBE_STRBRY_001000hy,2018-09-06 13:00,고령,26.1,53,2,29.5,63,532,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 14:00,고령,25.6,56,2,27.7,66,426,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 15:00,고령,25.2,60,1.2,26.2,67,420,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 16:00,고령,24.4,62,1.6,24.1,85,425,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 17:00,고령,23.5,78,1,24.3,85,431,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 18:00,고령,23.3,81,0.5,24.1,86,434,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 19:00,고령,22.9,82,0.4,23.1,87,443,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 20:00,고령,22.3,86,0.4,22.6,88,465,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 21:00,고령,21.8,96,0.8,22.5,90,474,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 22:00,고령,21.6,97,0.2,22.4,90,480,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-06 23:00,고령,21.6,99,0.2,22.3,90,490,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 0:00,고령,21.5,100,0.2,22.3,91,500,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 1:00,고령,21.4,100,0.3,22.3,90,506,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 2:00,고령,21.4,100,0.3,22.4,90,500,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 3:00,고령,21.3,100,0.5,22.4,91,499,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 4:00,고령,21.9,82,1,22.2,88,493,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 5:00,고령,21.1,84,0.8,21.7,86,453,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 6:00,고령,19.8,100,0.4,21.3,90,449,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 7:00,고령,19.7,100,0.4,21.6,91,462,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 8:00,고령,19.8,100,0.4,21.8,90,463,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 9:00,고령,20.6,100,0.3,23,88,457,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 10:00,고령,21.6,89,1,24,89,443,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 11:00,고령,22.1,85,1.5,25.1,90,439,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 12:00,고령,23.6,80,1.5,25.6,87,439,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 13:00,고령,26.2,60,1,27.9,83,434,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 14:00,고령,25.1,68,2.1,28.9,77,430,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 15:00,고령,25.2,62,1.2,27.6,82,428,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 16:00,고령,24.6,59,2.2,26.4,86,432,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 17:00,고령,23.5,64,1.4,25.5,87,439,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 18:00,고령,22.6,59,1.7,24.5,88,443,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 19:00,고령,21.3,67,0.5,23.7,88,455,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 20:00,고령,20.4,74,0.7,23.1,88,471,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 21:00,고령,19.5,78,0.7,22.9,89,482,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 22:00,고령,18.8,81,0.9,22.3,88,483,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-07 23:00,고령,18.3,83,0.8,21.9,88,486,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-08 0:00,고령,17.4,89,0.3,21.5,89,492,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-08 1:00,고령,17.3,93,0.7,21.3,89,497,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-08 2:00,고령,17,91,0.3,20.9,89,502,설향,,,비닐,단동,1200,
GBE_STRBRY_001000hy,2018-09-08 3:00,고령,15.9,100,0.5,20.5,89,505,설향,,,비닐,단동,1200,
